Plot,App,App_code,Rep,Trt,Control,Transect,Chem,Chem_code,GPA,GPA_Code,Droplet_cat,TRT_COMBO
106,Airplane,AIR,1,13,Treatment,A4,Indaz+imaz,INDAZ_IMAZ,5,X,1,AIR_INDAZ_IMAZ_1
206,Airplane,AIR,2,13,Treatment,A4,Indaz+imaz,INDAZ_IMAZ,5,X,1,AIR_INDAZ_IMAZ_1
306,Airplane,AIR,3,13,Treatment,A4,Indaz+imaz,INDAZ_IMAZ,5,X,1,AIR_INDAZ_IMAZ_1
406,Airplane,AIR,4,13,Treatment,A4,Indaz+imaz,INDAZ_IMAZ,5,X,1,AIR_INDAZ_IMAZ_1
103,Airplane,AIR,1,14,Treatment,A5,Indaz.,INDAZ,10,Y,1,AIR_INDAZ_1
203,Airplane,AIR,2,14,Treatment,A5,Indaz.,INDAZ,10,Y,1,AIR_INDAZ_1
303,Airplane,AIR,3,14,Treatment,A5,Indaz.,INDAZ,10,Y,1,AIR_INDAZ_1
403,Airplane,AIR,4,14,Treatment,A5,Indaz.,INDAZ,10,Y,1,AIR_INDAZ_1
107,Airplane,AIR,1,15,Treatment,A6,Indaz+imaz,INDAZ_IMAZ,10,Y,1,AIR_INDAZ_IMAZ_1
207,Airplane,AIR,2,15,Treatment,A6,Indaz+imaz,INDAZ_IMAZ,10,Y,1,AIR_INDAZ_IMAZ_1
307,Airplane,AIR,3,15,Treatment,A6,Indaz+imaz,INDAZ_IMAZ,10,Y,1,AIR_INDAZ_IMAZ_1
407,Airplane,AIR,4,15,Treatment,A6,Indaz+imaz,INDAZ_IMAZ,10,Y,1,AIR_INDAZ_IMAZ_1
104,Airplane,AIR,1,16,Treatment,A7,Indaz.,INDAZ,20,Z,2,AIR_INDAZ_2
204,Airplane,AIR,2,16,Treatment,A7,Indaz.,INDAZ,20,Z,2,AIR_INDAZ_2
304,Airplane,AIR,3,16,Treatment,A7,Indaz.,INDAZ,20,Z,3,AIR_INDAZ_3
404B,Airplane,AIR,4,16,Treatment,A7,Indaz.,INDAZ,20,Z,3,AIR_INDAZ_3
108,Airplane,AIR,1,17,Treatment,A8,Indaz+imaz,INDAZ_IMAZ,20,Z,2,AIR_INDAZ_IMAZ_2
208,Airplane,AIR,2,17,Treatment,A8,Indaz+imaz,INDAZ_IMAZ,20,Z,2,AIR_INDAZ_IMAZ_2
308,Airplane,AIR,3,17,Treatment,A8,Indaz+imaz,INDAZ_IMAZ,20,Z,2,AIR_INDAZ_IMAZ_2
408,Airplane,AIR,4,17,Treatment,A8,Indaz+imaz,INDAZ_IMAZ,20,Z,2,AIR_INDAZ_IMAZ_2
901,Ground,GRD,1,18,Treatment,G1,Indaz.,INDAZ,10,Y,3,GRD_INDAZ_3
902,Ground,GRD,2,18,Treatment,G2,Indaz.,INDAZ,10,Y,3,GRD_INDAZ_3
903,Ground,GRD,3,18,Treatment,G3,Indaz+imaz,INDAZ_IMAZ,10,Y,3,GRD_INDAZ_IMAZ_3
904,Ground,GRD,4,18,Treatment,G4,Indaz+imaz,INDAZ_IMAZ,10,Y,3,GRD_INDAZ_IMAZ_3
1101,Ground,GRD,1,19,Treatment,G1,Indaz.,INDAZ_IMAZ,10,Y,3,GRD_INDAZ_IMAZ_3
1102,Ground,GRD,2,19,Treatment,G2,Indaz.,INDAZ,10,Y,3,GRD_INDAZ_3
1103,Ground,GRD,3,19,Treatment,G3,Indaz+imaz,INDAZ_IMAZ,10,Y,3,GRD_INDAZ_IMAZ_3
1104,Ground,GRD,4,19,Treatment,G4,Indaz+imaz,INDAZ_IMAZ,10,Y,3,GRD_INDAZ_IMAZ_3
1001,Ground,GRD,1,20,Treatment,G1,Indaz.,INDAZ_IMAZ,20,Z,4,GRD_INDAZ_IMAZ_4
1002,Ground,GRD,2,20,Treatment,G2,Indaz.,INDAZ,20,Z,4,GRD_INDAZ_4
1003,Ground,GRD,3,20,Treatment,G3,Indaz+imaz,INDAZ_IMAZ,20,Z,4,GRD_INDAZ_IMAZ_4
1004,Ground,GRD,4,20,Treatment,G4,Indaz+imaz,INDAZ_IMAZ,20,Z,4,GRD_INDAZ_IMAZ_4
1201,Ground,GRD,1,21,Treatment,G1,Indaz.,INDAZ,20,Z,4,GRD_INDAZ_4
1202,Ground,GRD,2,21,Treatment,G2,Indaz.,INDAZ,20,Z,4,GRD_INDAZ_4
1203,Ground,GRD,3,21,Treatment,G3,Indaz+imaz,INDAZ_IMAZ,20,Z,4,GRD_INDAZ_IMAZ_4
1204,Ground,GRD,4,21,Treatment,G4,Indaz+imaz,INDAZ_IMAZ,20,Z,4,GRD_INDAZ_IMAZ_4
