Rep,Trt,Plot,TRT_COMBO,Bground,Aforb,ERCI6,LASE,BRJA,BRTE,ERUM,Pforb,SEIN2,CHJU,POSE,PSSP6,ACNE9,LECI4,ELEL5,FEID,CADO2,Bbluegrass,ARTRV,ARAR8,PUTR2,ERNA10,CHVI8
2,8,607,HEL_INDAZ_IMAZ_3,5,5,0,5,38,0,0,5,0,0,18,5,5,0,0,0,0,0,18,18,0,0,0
2,9,608,HEL_INDAZ_IMAZ_4,5,5,0,0,38,0,0,18,0,0,18,5,5,0,0,0,0,0,5,5,0,5,0
3,2,701,HEL_INDAZ_1,5,0,0,0,18,5,0,5,0,0,18,18,0,0,0,0,0,5,18,0,0,0,0
3,3,702,HEL_INDAZ_1,18,5,0,0,38,18,0,5,0,0,18,5,0,0,0,0,0,0,38,0,0,0,0
3,4,703,HEL_INDAZ_2,5,5,0,5,63,0,0,38,0,0,18,0,0,5,5,0,0,0,0,0,0,0,0
3,5,704,HEL_INDAZ_3,18,5,0,18,5,38,0,5,18,0,18,5,0,0,0,0,0,0,5,0,0,0,0
3,6,705,HEL_INDAZ_IMAZ_1,18,5,0,5,18,5,0,5,5,0,38,0,5,0,0,5,0,0,0,0,0,0,0
3,7,706,HEL_INDAZ_IMAZ_2,18,5,0,5,18,0,0,18,0,0,38,0,0,0,5,0,0,0,0,0,5,0,0
3,8,707,HEL_INDAZ_IMAZ_3,18,5,0,0,38,0,0,5,0,0,18,0,0,0,5,5,0,5,63,0,0,0,0
3,9,708,HEL_INDAZ_IMAZ_3,5,38,0,18,38,38,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4,2,801,HEL_INDAZ_1,18,5,0,0,18,5,0,5,0,0,18,5,0,0,5,0,0,0,0,0,0,0,0
4,3,802,HEL_INDAZ_1,5,5,0,0,83,18,0,5,5,5,18,0,0,0,0,0,0,0,5,0,0,0,0
4,4,803,HEL_INDAZ_2,18,5,0,18,38,38,0,38,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0
4,5,804,HEL_INDAZ_3,18,5,0,5,5,38,0,5,0,0,38,5,5,0,5,0,0,0,0,0,0,0,0
4,6,805,HEL_INDAZ_IMAZ_1,18,5,0,5,38,38,0,5,0,0,18,5,5,0,5,0,0,0,5,0,5,5,0
4,7,806,HEL_INDAZ_IMAZ_2,5,5,0,5,5,63,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
4,8,807,HEL_INDAZ_IMAZ_3,5,5,0,5,63,38,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,0
4,9,808,HEL_INDAZ_IMAZ_3,18,5,0,5,38,63,0,5,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0
1,18,901,GRD_INDAZ_3,5,5,0,5,5,0,0,5,5,0,18,5,5,0,0,0,0,0,0,0,0,0,0
2,18,902,GRD_INDAZ_3,5,5,5,5,0,38,0,5,5,5,18,5,5,0,0,0,0,0,0,0,0,0,0
3,18,903,GRD_INDAZ_IMAZ_3,5,38,0,0,0,18,0,5,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0
4,18,904,GRD_INDAZ_IMAZ_3,5,38,0,5,0,18,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
1,20,1001,GRD_INDAZ_IMAZ_4,5,38,5,5,18,18,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
2,20,1002,GRD_INDAZ_4,5,38,5,5,38,18,0,5,5,0,38,5,5,0,0,0,0,0,18,0,0,0,0
3,20,1003,GRD_INDAZ_IMAZ_4,5,18,18,0,5,38,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,5,0
4,20,1004,GRD_INDAZ_IMAZ_4,5,5,18,5,18,38,0,18,5,5,18,5,0,0,0,0,0,0,0,0,0,0,0
1,19,1101,GRD_INDAZ_IMAZ_3,5,5,0,5,5,38,0,18,5,5,38,5,5,0,0,0,0,0,0,0,0,0,0
2,19,1102,GRD_INDAZ_3,5,18,5,18,18,38,0,5,5,0,18,5,5,0,0,0,0,0,0,0,0,0,0
3,19,1103,GRD_INDAZ_IMAZ_3,5,18,0,5,18,18,5,5,5,0,18,5,5,0,0,0,0,0,0,0,0,18,0
4,19,1104,GRD_INDAZ_IMAZ_3,5,18,5,5,38,38,0,5,5,0,18,5,5,0,0,0,0,0,0,0,0,5,0
1,21,1201,GRD_INDAZ_4,5,38,5,5,38,38,0,5,5,0,18,5,0,0,0,0,0,0,0,0,0,0,0
2,21,1202,GRD_INDAZ_4,5,5,5,5,18,38,0,5,5,0,5,5,0,0,0,0,0,0,5,0,0,5,0
3,21,1203,GRD_INDAZ_IMAZ_4,5,5,38,5,38,38,0,5,5,0,18,0,5,0,0,0,0,0,0,0,0,0,0
4,21,1204,GRD_INDAZ_IMAZ_4,5,5,18,5,5,38,0,5,5,5,18,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1301,CONTROL,5,5,0,0,63,18,0,18,0,0,18,0,5,0,0,0,0,0,18,0,0,0,0
2,1,1302,CONTROL,5,5,5,5,0,63,0,5,5,5,18,5,5,0,0,0,0,0,0,0,0,0,0
3,1,1303,CONTROL,5,5,5,38,63,5,0,5,0,0,18,5,5,0,0,0,0,0,5,0,0,0,0
4,1,1304,CONTROL,5,5,0,0,18,63,0,5,0,0,18,5,0,0,0,0,0,5,63,0,0,0,0
