Rep,Trt,Plot,TRT_COMBO,BGROUND,CAEX14,ERCI6,LAOC3,LASE,MADIA,MADIA2,NABR,SIAL2,TRDU,UnkCrepis,UnkThistle,BRJA,BRTE,ACMI2,AGGL,ALLIUM,AMSIN,ANLU2,ARSO2,ASTRA,BASA3,CHDO,CHJU,CIAR4,CIUN,CRAC2,CROC,ERBL,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,PHHA,PHLO2,SEIN2,ZIPA2,ACNE9,ACTH7,CADO2,DAUN,ELEL5,LECI4,MEBU,POBU,POSE,PSSP6,UnkPoa,ARAR8,ARTRV,CHVI8,ERNA10,PUTR2,TETRA3,UnkSage,UNK1,UNK5
3,17,308,AIR_INDAZ_IMAZ_2,38,0,0,0,0,0,0,0,0,18,0,0,5,5,0,0,0,5,0,18,18,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,5,5,0,0,18,0,0,0,0,0,5,0
4,17,408,AIR_INDAZ_IMAZ_2,18,0,0,0,0,0,0,0,0,38,0,0,0,5,0,0,0,0,0,18,18,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,18,5,0,0,0,0,0,0,0,0,5,0
1,18,901,GRD_INDAZ_3,38,0,0,0,0,0,0,0,0,18,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,63,5,0,0,0,0,0,0,0,0,0,0
2,18,902,GRD_INDAZ_3,18,0,0,0,5,0,0,0,0,5,5,0,5,5,0,0,5,0,5,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,63,5,0,0,0,0,0,0,0,0,0,0
3,18,903,GRD_INDAZ_IMAZ_3,38,0,18,0,5,0,0,0,0,5,5,0,0,18,0,0,5,0,0,0,5,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,38,5,0,0,0,0,0,0,0,0,0,0
4,18,904,GRD_INDAZ_IMAZ_3,38,0,18,0,5,0,0,0,0,5,18,0,5,5,0,0,5,0,0,0,0,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,38,5,0,0,0,0,0,0,0,0,0,0
1,19,1101,GRD_INDAZ_IMAZ_3,63,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,18,5,0,0,0,0,0,0,0,0,5,0
2,19,1102,GRD_INDAZ_3,63,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,5,5,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,18,5,0,0,0,0,0,0,0,0,5,0
3,19,1103,GRD_INDAZ_IMAZ_3,38,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,5,0,5,0,5,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,18,5,0,0,0,18,0,0,0,0,0,0
4,19,1104,GRD_INDAZ_IMAZ_3,18,0,5,0,5,0,0,0,0,5,0,0,5,0,0,0,18,5,38,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,38,5,0,0,0,5,0,0,0,0,0,0
1,20,1001,GRD_INDAZ_IMAZ_4,38,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,5,0,0,0,0,18,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,5,38,5,0,0,0,0,0,0,0,0,0,0
2,20,1002,GRD_INDAZ_4,18,0,0,0,5,0,0,0,0,5,5,0,18,5,0,0,5,0,5,0,0,0,18,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,38,5,0,0,0,0,0,0,0,0,5,0
3,20,1003,GRD_INDAZ_IMAZ_4,38,0,18,0,0,0,0,0,0,18,0,0,5,5,0,0,5,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,38,18,0,0,0,18,0,0,0,0,0,0
4,20,1004,GRD_INDAZ_IMAZ_4,5,0,5,0,0,0,0,0,0,18,0,0,5,18,0,5,5,0,0,0,18,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,63,5,0,0,0,0,0,0,0,0,0,0
1,21,1201,GRD_INDAZ_4,38,0,0,0,5,0,0,0,0,38,0,0,5,5,0,0,5,0,5,0,0,5,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,5,0
2,21,1202,GRD_INDAZ_4,38,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,18,0,0,0,5,0,0,0,0,0,0,18,5,0,0,18,0,0,0,0,0,5,0
3,21,1203,GRD_INDAZ_IMAZ_4,38,0,5,0,0,0,0,0,0,38,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,38,5,0,0,0,0,0,0,0,0,5,0
4,21,1204,GRD_INDAZ_IMAZ_4,38,0,5,0,0,0,0,0,0,18,0,0,5,0,0,5,0,0,0,0,5,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0
