Rep,Trt,Plot,TRT_COMBO,BGROUND,CAEX14,ERCI6,LAOC3,LASE,MADIA,MADIA2,NABR,SIAL2,TRDU,UnkCrepis,UnkThistle,BRJA,BRTE,ACMI2,AGGL,ALLIUM,AMSIN,ANLU2,ARSO2,ASTRA,BASA3,CHDO,CHJU,CIAR4,CIUN,CRAC2,CROC,ERBL,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,PHHA,PHLO2,SEIN2,ZIPA2,ACNE9,ACTH7,CADO2,DAUN,ELEL5,LECI4,MEBU,POBU,POSE,PSSP6,UnkPoa,ARAR8,ARTRV,CHVI8,ERNA10,PUTR2,TETRA3,UnkSage,UNK1,UNK5
4,3,802,HEL_INDAZ_1,18,0,0,0,0,0,0,0,0,18,0,0,38,18,0,0,5,5,0,5,5,18,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,5,5,0,0,0,0,5,0
1,4,503,HEL_INDAZ_2,5,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,18,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0
2,4,603,HEL_INDAZ_2,5,0,0,0,0,5,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,38,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
3,4,703,HEL_INDAZ_2,18,0,0,0,0,5,0,0,0,5,0,0,5,0,0,5,0,0,18,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,5,0,0,0,0,18,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
4,4,803,HEL_INDAZ_2,18,0,0,0,0,0,0,0,0,5,0,0,5,5,5,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1,5,504,HEL_INDAZ_4,5,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
2,5,604,HEL_INDAZ_4,18,0,0,0,0,0,0,0,0,5,5,0,5,5,5,5,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,18,0,0,0,0,0,0,0
3,5,704,HEL_INDAZ_3,18,0,0,0,0,0,0,0,0,18,5,0,0,0,0,5,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0
4,5,804,HEL_INDAZ_3,18,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,5,0,0,0,5,18,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,18,5,0,0,0,5,0,0,0,0,5,0
1,6,505,HEL_INDAZ_IMAZ_1,18,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,18,0,0,38,0,0,0,0,0,0,0,0
