UNIQUE_PLOT_ID,TRT_COMBO,Rep,Trt,Plot,BGROUND,ACMI2,ACNE9,ACTH7,AGGL,ALAC4,AMSIN,ANLU2,ARAR8,ARSO2,ARTRV,ASTRA,BASA3,BRJA,BRTE,CADO2,CATE26,CHDO,CHJU,CHVI8,CIAR4,CIUN,CRAC2,CROC,DAUN,ELEL5,ERBL,ERC16,ERHE2,ERLA,EROV,ERPU2,ERTH4,ERUM,GERAN,IVAX,LAOC3,LASE,LECI4,LIRU4,LONU2,LOTR,LUPIN,LUPIN2,LUPIN3,MACA2,MADIA,MADIA2,MEBU,NABR,NOTR2,PHHA,PHLO2,POBU,POSE,PSSP6,PUTR2,SEIN2,SIAL2,TETRA3,TRDU,UNK1,UNK5,UnkCrepis,UnkPoa,UnkSage,UnkThistle,ZIPA2
G01,GRD_INDAZ_3,1,18,901,38,0,0,5,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,63,5,0,0,0,0,18,0,0,5,0,0,0,0
G02,GRD_INDAZ_3,2,18,902,18,0,0,5,0,5,0,5,0,0,0,0,5,5,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,63,5,0,0,0,0,5,0,0,5,0,0,0,0
G03,GRD_INDAZ_3,3,18,903,38,0,0,5,0,5,0,0,0,0,0,5,5,0,18,0,0,0,0,0,0,0,5,0,0,0,0,18,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,38,5,0,0,0,0,5,0,0,5,0,0,0,0
G04,GRD_INDAZ_3,4,18,904,38,0,0,0,0,5,0,0,0,0,0,0,5,5,5,0,0,5,5,0,0,0,5,0,0,5,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,38,5,0,0,0,0,5,0,0,18,0,0,0,0
G05,GRD_INDAZ_IMAZ_3,1,19,1101,63,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,18,5,0,0,0,0,5,5,0,5,0,0,0,0
G06,GRD_INDAZ_IMAZ_3,2,19,1102,63,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,18,5,0,0,0,0,5,5,0,5,0,0,0,0
G07,GRD_INDAZ_IMAZ_3,3,19,1103,38,0,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,5,5,18,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,18,5,0,0,0,0,5,0,0,5,0,0,0,0
G08,GRD_INDAZ_IMAZ_3,4,19,1104,18,0,0,5,0,18,5,38,0,0,0,5,0,5,0,0,0,5,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,38,5,0,0,0,0,5,0,0,0,0,0,0,0
G09,GRD_INDAZ_4,1,20,1001,38,0,0,5,5,5,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,38,5,0,0,0,0,18,0,0,0,0,0,0,0
G10,GRD_INDAZ_4,2,20,1002,18,0,0,5,0,5,0,5,0,0,0,0,0,18,5,0,0,18,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,38,5,0,0,0,0,5,5,0,5,0,0,0,0
G11,GRD_INDAZ_4,3,20,1003,38,0,0,5,0,5,0,0,0,0,0,0,0,5,5,0,0,18,0,18,0,0,5,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,38,18,0,0,0,0,18,0,0,0,0,0,0,0
G12,GRD_INDAZ_4,4,20,1004,5,0,0,0,5,5,0,0,0,0,0,18,0,5,18,0,0,5,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,63,5,0,0,0,0,18,0,0,0,0,0,0,0
G13,GRD_INDAZ_IMAZ_4,1,21,1201,38,0,0,0,0,5,0,5,0,0,0,0,5,5,5,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,18,5,0,18,5,0,0,0,0,38,5,0,0,0,0,0,0
G14,GRD_INDAZ_IMAZ_4,2,21,1202,38,0,0,5,0,0,0,0,0,0,18,0,5,0,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,18,0,18,5,0,0,0,0,38,5,0,0,0,0,0,0
G15,GRD_INDAZ_IMAZ_4,3,21,1203,38,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,38,5,0,0,0,0,38,5,0,0,0,0,0,0
G16,GRD_INDAZ_IMAZ_4,4,21,1204,38,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,5,5,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,5,0,0,0,0,18,0,0,0,0,0,0,0
