DATE,ROUTE,PLOT_NUM,P_LOCATION,CL_UNCL,T_LOCATION,GRADE_CAT,GRADE,STARS,ROUTE_TYPE,TOT_HEIGHT,ASPECT_ORD,ASPECT_DEG,ASPECT_NORTH,ASPECT_EAST,SLOPE,HEIGHT_DOWN,TAXA,Functional,Species,Abundance
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,LOBE,TNYBRNCH,4
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,LOBE,GRNSQB,1
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,UMB,TOADSK,9
28-May-19,BLOCK ROUTE,5,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,M,,Wei_controversa,2
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,CRUST,GRNCRST,3
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,LOBE,GRNSQB,1
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,LOBE,TNYBRNCH,1
28-May-19,BLOCK ROUTE,6,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,13,L,UMB,ROCKTRP,7
28-May-19,BLOCK ROUTE,7,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,7,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,CRUST,GRNCRST,7
28-May-19,BLOCK ROUTE,7,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,CRUST,BLBRDOT,5
28-May-19,BLOCK ROUTE,7,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,LOBE,TNYBRNCH,5
28-May-19,BLOCK ROUTE,7,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,LOBE,GRNSQB,2
28-May-19,BLOCK ROUTE,7,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,UMB,TOADSK,9
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,CRUST,BLBRDOT,2
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,CRUST,GRNCRST,2
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,LOBE,GRNSQB,5
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,LOBE,TNYBRNCH,3
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,POWDER,GRNPDR,1
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,POWDER,WHPDR,1
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,UMB,ROCKTRP,3
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,L,UMB,TOADSK,1
28-May-19,BLOCK ROUTE,8,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,18,M,,Wei_controversa,1
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,CRUST,BLBRDOT,8
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,CRUST,GRNCRST,2
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,LOBE,TNYBRNCH,7
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,LOBE,GRNSQB,5
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,POWDER,GRNPDR,1
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,M,,Moss_12,2
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,M,,Wei_controversa,1
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,P,,Sel_tortipila,4
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,P,,Car_5,1
28-May-19,BLOCK ROUTE,9,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,P,,Hyd_petiolaris,1
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,CRUST,BLBRDOT,9
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,CRUST,MINGREY,9
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,CRUST,GRNCRST,1
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,FRUIT,CLADSQ,1
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,LOBE,TNYBRNCH,8
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,LOBE,GRNSQB,4
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,UMB,ROCKTRP,3
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,L,UMB,TOADSK,1
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,M,,Moss_12,2
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,M,,Wei_controversa,1
28-May-19,BLOCK ROUTE,10,FACE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,140,23,P,,Sel_tortipila,2
28-May-19,BLOCK ROUTE,1B,BASE,CLIMBED,TR,EASY,5.5,2.3,T,32,E,155,-0.91,0.42,NA,NA,L,CRUST,BLBRDOT,9
