year,plot_name,Plot_type,AFGC,AFGCSTD,AF_UNCT,BG,BGSTD,LTR,LTRSTD,PFGC,PFGCSTD,SHR,SHRSTD,TREE,TREESTD
1987,HSHG_C_1,HSHG,4.701149425,55.10344828,0.551034483,4.586206897,73.17241379,9.75862069,60,39.47126437,102.045977,34.89655172,172.2413793,0,35.42528736
1987,HSHG_C_5,HSHG,3.453488372,36.8255814,0.368255814,13.46511628,54.5,14.77906977,40.81395349,32.89534884,86,27.86046512,165.2674419,0,25.72093023
1987,HSHG_C_6,HSHG,6.188235294,47.96470588,0.479647059,8.435294118,41.75294118,12.81176471,47.96470588,43.43529412,40.69411765,19.94117647,118.1529412,0,27.87058824
1987,HSHG_C_8,HSHG,7,30.12643678,0.301264368,9.781609195,29.08045977,14.42528736,55.65517241,37.7816092,100.2068966,22.55172414,108.9655172,0,33.63218391
1987,HSHG_LRC_C,HSHG,4.906976744,65.10465116,0.651046512,5.325581395,49.12790698,9.779069767,38.29069767,36.05813953,215.9069767,36.5,268.5,0,34.23255814
1987,HSHG_LRC_T,HSHG,4.816091954,75.14942529,0.751494253,9.183908046,71.09195402,13,57.22988506,36.36781609,102.8850575,27.18390805,269.3218391,0,26.87356322
1987,HSHG_T_1,HSHG,6.218390805,63.65517241,0.636551724,4.137931034,41.04597701,9.793103448,49.62068966,33.33333333,161.183908,40.13793103,194.4022989,0,30.24137931
1987,HSHG_T_2,HSHG,6.494382022,37.57303371,0.375730337,13.78651685,44.03370787,15.42696629,34.43820225,36.93258427,118.9662921,19.15730337,49.25842697,0,14.46067416
1987,HSHG_T_6,HSHG,3.75,50.80681818,0.508068182,10.375,56.95454545,12.69318182,39.93181818,36.27272727,105.25,28.21590909,207.3181818,0,51.71590909
1987,HSHG_T_7,HSHG,5.546511628,67.89534884,0.678953488,5.674418605,16.54651163,11.18604651,43.03488372,33.76744186,199.255814,37.62790698,306.4883721,0,42.6744186
1988,HSHG_C_1,HSHG,2.126436782,73.20689655,0.732068966,5.367816092,41.51724138,11.6091954,67.40229885,47.50574713,166.6896552,22.83908046,106.3678161,0.298850575,23.37931034
1988,HSHG_C_5,HSHG,2.465116279,56.12790698,0.56127907,15.58139535,68.59302326,14.93023256,53.8255814,33.72093023,79.3372093,24.54651163,87.53488372,0,19.65116279
1988,HSHG_C_6,HSHG,6.752941176,24.01176471,0.240117647,10.62352941,38.01176471,14.18823529,36.01176471,38.94117647,76.76470588,18.49411765,46.69411765,0.188235294,15.8
1988,HSHG_C_8,HSHG,5.885057471,51.20689655,0.512068966,9.091954023,51.86206897,13.68965517,24.94252874,40.81609195,142.3448276,21.88505747,58.64367816,0,8.528735632
1988,HSHG_LRC_C,HSHG,3.755813953,31.36046512,0.313604651,5.639534884,40.86046512,10.56976744,52.11627907,45.04651163,171.2674419,26.45348837,175.5116279,0,31.12790698
1988,HSHG_LRC_T,HSHG,9,31.43678161,0.314367816,8.816091954,63.64367816,14.81609195,41.51724138,35.18390805,100.6896552,20.18390805,36.49425287,0,13.65517241
1988,HSHG_T_1,HSHG,3.827586207,75.31034483,0.753103448,6.103448276,48.85057471,11.63218391,48.52873563,42.31034483,219.862069,27.87356322,116.7586207,0,11.09195402
1988,HSHG_T_2,HSHG,6,44.08988764,0.440898876,11.34831461,51,14,28.83146067,38.50561798,46.58426966,21.07865169,101.988764,0,8.179775281
1988,HSHG_T_6,HSHG,3.295454545,52.43181818,0.524318182,10.76136364,28.28409091,12.375,14.01136364,43.35227273,168.8977273,20.13636364,93.10227273,0,17.39772727
1988,HSHG_T_7,HSHG,3,45.20930233,0.452093023,5.5,54.5,11.62790698,31.72093023,43.39534884,143.7674419,29.30232558,149.5348837,0,22.60465116
1989,HSHG_C_1,HSHG,1.16091954,56.70114943,0.567011494,6.011494253,49.85057471,12.90804598,47.56321839,34.09195402,105.8735632,40.87356322,200.3333333,0,30.96551724
1989,HSHG_C_5,HSHG,1.546511628,41.31395349,0.413139535,13.77906977,33.3255814,13.68604651,36.96511628,30.3255814,82.24418605,34.15116279,115.9302326,0,31.31395349
1989,HSHG_C_6,HSHG,2.188235294,34.74117647,0.347411765,12.24705882,69.85882353,15.81176471,34.37647059,31.50588235,35.82352941,32.43529412,99.6,0,14.62352941
1989,HSHG_C_8,HSHG,5.011494253,31.81609195,0.31816092,10.7816092,44.91954023,12.98850575,18.77011494,35.45977011,113.6666667,27.37931034,124.8275862,0,20.17241379
1989,HSHG_LRC_C,HSHG,4.88372093,43.79069767,0.437906977,8.348837209,49.8255814,13.63953488,43.80232558,33.91860465,215.4069767,31.73255814,304.755814,0,40.79069767
1989,HSHG_LRC_T,HSHG,4.816091954,36.42528736,0.364252874,13,42.86206897,17.18390805,62.13793103,29.81609195,91.05747126,26.18390805,60.08045977,0,19.10344828
1989,HSHG_T_1,HSHG,2.471264368,85.05747126,0.850574713,7.551724138,39.17241379,13.01149425,54.83908046,30.96551724,105.7241379,39.96551724,158.2758621,0,27.88505747
1989,HSHG_T_2,HSHG,3.719101124,25.05617978,0.250561798,13.56179775,27.40449438,14,41.58426966,33.78651685,65.49438202,28.65168539,107.8539326,0,23.82022472
1989,HSHG_T_6,HSHG,3.295454545,27.11363636,0.271136364,10.34090909,66.21590909,11.68181818,33,34.40909091,93.45454545,33.27272727,98.36363636,0,14.93181818
1989,HSHG_T_7,HSHG,2.325581395,36.22093023,0.362209302,4.337209302,36.45348837,10.8255814,48.94186047,32.11627907,156.8255814,46.6627907,330.8023256,0.011627907,78.98837209
1990,HSHG_C_1,HSHG,5.126436782,53.87356322,0.538735632,5.666666667,62.85057471,10.2183908,70.55172414,42.14942529,98.77011494,31.50574713,184.3218391,0,26.34482759
1990,HSHG_C_5,HSHG,4.848837209,47.60465116,0.476046512,11.77906977,45.38372093,12.54651163,22.20930233,39.6744186,126.4534884,25.05813953,112.3139535,0.034883721,27.37209302
1990,HSHG_C_6,HSHG,10.45882353,22.51764706,0.225176471,10.05882353,33.42352941,13.56470588,22.02352941,34.92941176,59.90588235,24.04705882,43.17647059,0,19.24705882
1990,HSHG_C_8,HSHG,6.298850575,48.08045977,0.480804598,9.333333333,57.89655172,12.91954023,30.94252874,41.71264368,140.7931034,23.59770115,146.8045977,0,30.33333333
1990,HSHG_LRC_C,HSHG,6.5,36.1627907,0.361627907,7.139534884,42.62790698,12.70930233,57.89534884,37.97674419,141.1395349,28.65116279,104.5813953,0,27.43023256
1990,HSHG_LRC_T,HSHG,5.816091954,78.01149425,0.780114943,12.18390805,47.18390805,14.81609195,28.91954023,40,92.98850575,22,197.4827586,0,17.83908046
1990,HSHG_T_1,HSHG,5.379310345,36.28735632,0.362873563,6.310344828,39.98850575,10.40229885,26.13793103,44.37931034,162.6896552,27.67816092,139.5057471,0,22.35632184
1990,HSHG_T_2,HSHG,6.06741573,24.12359551,0.241235955,11.49438202,56.59550562,12.42696629,38.79775281,43.2247191,98.04494382,21.58426966,146.8651685,0,39.57303371
1990,HSHG_T_6,HSHG,4.318181818,28.04545455,0.280454545,7.681818182,34.35227273,10.97727273,38.85227273,40.23863636,107.6590909,29.68181818,130.625,0,49.95454545
1990,HSHG_T_7,HSHG,6,76.27906977,0.762790698,5.174418605,45.15116279,9.813953488,36.91860465,36.77906977,116.627907,36.84883721,212.0232558,0,42.54651163
1991,HSHG_C_1,HSHG,3.781609195,46.82758621,0.468275862,6.75862069,45.14942529,11.3908046,53.03448276,40.04597701,125.7816092,29.74712644,180.4022989,0,36.73563218
1991,HSHG_C_5,HSHG,3.627906977,49.06976744,0.490697674,16.54651163,33.8255814,18.70930233,39.19767442,31.52325581,88.74418605,22.11627907,92.15116279,0,24.93023256
1991,HSHG_C_6,HSHG,8.894117647,50.61176471,0.506117647,11.87058824,29.25882353,18.75294118,67.30588235,32.55294118,73.45882353,18.36470588,62.96470588,0,18.05882353
1991,HSHG_C_8,HSHG,4.103448276,39.95402299,0.39954023,11.4137931,40.51724138,15.64367816,17.01149425,37.27586207,115.8735632,22.51724138,152.1494253,0,23.04597701
1991,HSHG_LRC_C,HSHG,6.837209302,61.58139535,0.615813953,6.872093023,43.6744186,13.09302326,45.84883721,36.1744186,114,27.30232558,106.3372093,0,23.55813953
1991,HSHG_LRC_T,HSHG,5.183908046,21.83908046,0.218390805,13,62.25287356,16.18390805,14.62068966,35.63218391,154.5517241,20.18390805,45.27586207,0,23.44827586
1991,HSHG_T_1,HSHG,5.114942529,46.36781609,0.463678161,6.632183908,55.67816092,11.63218391,60.13793103,43.03448276,140.8390805,25.4137931,114.2068966,0.367816092,18.83908046
1991,HSHG_T_2,HSHG,3.93258427,38.23595506,0.382359551,13.85393258,29.47191011,16.57303371,38.7752809,34.29213483,63.33707865,23.85393258,85.28089888,0,17.05617978
1991,HSHG_T_6,HSHG,3.329545455,54.04545455,0.540454545,9.068181818,64.90909091,12,21.31818182,36.98863636,89.5,29.92045455,136.2613636,0,27.34090909
1991,HSHG_T_7,HSHG,5.011627907,74.1744186,0.741744186,6,56.18604651,11.84883721,61.41860465,35.46511628,67.70930233,32.84883721,160.2209302,0,19.73255814
1992,HSHG_C_1,HSHG,1.298850575,55.12643678,0.551264368,6.298850575,43.17241379,10.14942529,33.79310345,53.17241379,138.7011494,21.7816092,121.2068966,0,30.02298851
1992,HSHG_C_5,HSHG,2.488372093,55.58139535,0.555813953,17.29069767,22.77906977,14.88372093,55.38372093,37.68604651,132.8488372,19.22093023,216.7906977,0,22.22093023
1992,HSHG_C_6,HSHG,2,53.11764706,0.531176471,16.62352941,120.5529412,16.81176471,26.81176471,38.75294118,152.2588235,19,255.6941176,0,29.18823529
1992,HSHG_C_8,HSHG,2.471264368,31.8045977,0.318045977,11.34482759,58.45977011,13.91954023,32.27586207,46,123.7126437,21.62068966,167.7931034,0,32.75862069
1992,HSHG_LRC_C,HSHG,4.139534884,74.55813953,0.745581395,10.3255814,65.52325581,13.54651163,27.60465116,40.48837209,184.4069767,24.34883721,185.2093023,0,20.76744186
1992,HSHG_LRC_T,HSHG,3.816091954,61.45977011,0.614597701,18,54.26436782,15.81609195,42.51724138,41.63218391,104.3448276,18.18390805,197.4597701,0,28.91954023
1992,HSHG_T_1,HSHG,2.954022989,60.45977011,0.604597701,6.965517241,41.10344828,11.32183908,34.93103448,49.12643678,99.17241379,21.72413793,110.5747126,0,28.04597701
1992,HSHG_T_2,HSHG,2.213483146,51.62921348,0.516292135,15.06741573,45.86516854,14,35.21348315,43.15730337,139.4269663,22.21348315,115.9213483,0,22.8988764
1992,HSHG_T_6,HSHG,1.022727273,59.04545455,0.590454545,14.42045455,29.5,13.67045455,46.97727273,33.63636364,114.4090909,29.55681818,148.5113636,0,25.03409091
1992,HSHG_T_7,HSHG,3.372093023,75.52325581,0.755232558,7.011627907,55.46511628,12.5,96.61627907,37.58139535,105,31.59302326,175.6395349,0,26.47674419
1993,HSHG_C_1,HSHG,3.068965517,66.81609195,0.66816092,7.091954023,63.35632184,12.70114943,71.91954023,44.87356322,112.3103448,25.4137931,183.9885057,0,18.64367816
1993,HSHG_C_5,HSHG,3.476744186,43.53488372,0.435348837,14.20930233,44.03488372,14,28.79069767,33.68604651,95.22093023,29.23255814,84.12790698,0,12.61627907
1993,HSHG_C_6,HSHG,5,53.4,0.534,12.24705882,12.27058824,13,18.4,38.18823529,138.3176471,24.18823529,137.6470588,0,21.82352941
1993,HSHG_C_8,HSHG,4.724137931,60.02298851,0.600229885,10.32183908,63.24137931,13.24137931,24.44827586,37.44827586,70.08045977,26.11494253,105.5977011,0,9.091954023
